Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
msrA1	msrA	P00509	aspC	29.000157699471547	35
msrA2	msrA	P00509	aspC	29.09300677009393	36
msrA3	msrA	P00509	aspC	29.118075465685152	37
msrB1	msrB	P00509	aspC	28.957212061970317	38
msrB2	msrB	P00509	aspC	28.962130569821806	36
msrB3	msrB	P00509	aspC	29.032804466612287	37
msrC1	msrC	P00509	aspC	29.030550285910046	35
msrC3	msrC	P00509	aspC	28.98983024838976	37
WT1	WT	P00547	thrB	25.128499900102497	8
WT2	WT	P00547	thrB	25.07484197613868	8
WT3	WT	P00547	thrB	25.163706331116565	9
bisC1	bisC	P00547	thrB	24.565684345183826	9
bisC2	bisC	P00547	thrB	24.291498286194642	6
bisC3	bisC	P00547	thrB	24.264716332604642	9
msrA1	msrA	P00547	thrB	24.944753876566217	9
msrA2	msrA	P00547	thrB	25.35787667132838	8
msrA3	msrA	P00547	thrB	24.832273496632315	7
msrB1	msrB	P00547	thrB	24.05311451917113	9
msrB2	msrB	P00547	thrB	24.19623650326372	7
msrB3	msrB	P00547	thrB	24.286034976235346	7
msrC1	msrC	P00547	thrB	24.1848276834236	8
msrC3	msrC	P00547	thrB	23.81916441342132	7
WT1	WT	P00550	mtlA	27.32464080501551	21
WT2	WT	P00550	mtlA	27.298084249117927	20
WT3	WT	P00550	mtlA	27.289694863376603	22
bisC1	bisC	P00550	mtlA	27.372893481846337	20
bisC2	bisC	P00550	mtlA	27.345044994721974	20
bisC3	bisC	P00550	mtlA	27.31270226483746	22
msrA1	msrA	P00550	mtlA	27.147111275984464	23
msrA2	msrA	P00550	mtlA	27.16045342991511	22
msrA3	msrA	P00550	mtlA	27.155684496585256	21
msrB1	msrB	P00550	mtlA	27.290573375055207	22
msrB2	msrB	P00550	mtlA	27.43160586782	21
msrB3	msrB	P00550	mtlA	27.368192839303585	20
msrC1	msrC	P00550	mtlA	27.243640483919553	23
msrC3	msrC	P00550	mtlA	27.138426337611094	23
WT1	WT	P00561	thrA	27.12922515099316	55
WT2	WT	P00561	thrA	27.058621187766274	55
