Protein.Group	log2fc	ci_l	ci_r	mean_abundance	pval	adj_pval	comparison
P77596	0.21053999501661025	0.01999270157727384	0.40108728845594666	22.528873282562547	0.03338026382852775	0.32289104673799696	WT_vs_msrA
P25889	-0.30417745277225094	-0.5796403181785217	-0.028714587365980204	27.672452424653056	0.03346846980008853	0.32289104673799696	WT_vs_msrA
P00452	0.12559411797609243	0.011672032321270856	0.23951620363091403	27.006909594056925	0.033700647854680466	0.32410211655181626	WT_vs_msrA
P42907	0.45440554037953973	0.04116463195283493	0.8676464488062445	20.45689429556011	0.034073590324844624	0.32665501891862087	WT_vs_msrA
P22525	0.15694995267092438	0.013981706318571208	0.29991819902327754	23.83425421683472	0.03431428729045872	0.3277306585247417	WT_vs_msrA
P0AAS7	0.1506334361966175	0.01333702052625757	0.28792985186697745	26.513203801582474	0.03440147419196861	0.3277306585247417	WT_vs_msrA
P76361	0.9212276585501407	0.07938833422080427	1.7630669828794772	19.102970810605548	0.03478127864483283	0.3285321763579825	WT_vs_msrA
P0A948	0.1328119825046059	0.011285567781157843	0.25433839722805396	23.272068027473978	0.03497539504307118	0.3285321763579825	WT_vs_msrA
P77171	0.37647963377033733	0.03192881408393672	0.721030453456738	23.36712051724541	0.03500209263376506	0.3285321763579825	WT_vs_msrA
P0ACN7	0.14265172267733206	0.012080618735833909	0.27322282661883024	22.99077793018142	0.03502194664097652	0.3285321763579825	WT_vs_msrA
P30176	-0.38715645027292567	-0.7415361548590124	-0.03277674568683897	22.642878446079465	0.03502613528791916	0.3285321763579825	WT_vs_msrA
P0AB74	-0.935737454429173	-1.7930935935839574	-0.07838131527438863	17.179316123415525	0.03517121221503254	0.3288778889891812	WT_vs_msrA
P05458	-0.10581438704940638	-0.2031559462466876	-0.008472827852125164	23.74823605259582	0.0357721244567217	0.33347081663796696	WT_vs_msrA
P08312	0.11531191417483555	0.009023111795343597	0.2216007165543275	28.56435356232627	0.03607072775039032	0.3352261212031688	WT_vs_msrA
P0A6P1	0.19509541666621644	0.01463464152553795	0.3755561918068949	31.55757839142273	0.03660397240176191	0.33912245779476174	WT_vs_msrA
P0ADT2	-0.17458842044630885	-0.3363138603348725	-0.012862980557745207	26.222611788260615	0.036825314067659445	0.33912245779476174	WT_vs_msrA
P0AB89	0.12922195612121712	0.009460976126520165	0.24898293611591407	27.7980556939153	0.03690181802493578	0.33912245779476174	WT_vs_msrA
P0A955	-0.20893664763278608	-0.4026194528216194	-0.015253842443952781	28.209628735785675	0.036936338772644337	0.33912245779476174	WT_vs_msrA
P0ACB2	-0.184510121031348	-0.35582297452658	-0.013197267536115997	26.785049176574553	0.03718271182642728	0.3403562085557606	WT_vs_msrA
P0AA10	0.12888876451725295	0.009055219349655003	0.2487223096848509	31.30331946896486	0.03739460303572147	0.34126786374041307	WT_vs_msrA
P0ABG1	0.15048175304241695	0.010465968771015938	0.290497537313818	24.284059504862444	0.0375127139662804	0.34132077168720404	WT_vs_msrA
P12996	-1.1158058092756278	-2.1561220064569375	-0.07548961209431804	17.506721139188098	0.03783048751949891	0.34318463155748413	WT_vs_msrA
P0A843	-0.450322488061488	-0.8705959051682703	-0.030049070954705714	22.389052919300703	0.03798640061445396	0.3435734269860881	WT_vs_msrA
P0A6F3	0.14475681424563192	0.009491320290977906	0.28002230820028595	28.18366132592865	0.038182056104153116	0.3443183041558496	WT_vs_msrA
P0AFM2	0.28556641646124703	0.017859321438864317	0.5532735114836298	28.568691727928552	0.038694736884931226	0.3479091875541597	WT_vs_msrA
P0A940	0.13395972232393305	0.008246148959736882	0.25967329568812925	27.69337409593353	0.03886193182451041	0.34806876556131	WT_vs_msrA
P24186	0.17455548634366735	0.010663506260822964	0.33844746642651174	26.997161375929885	0.03894155323818539	0.34806876556131	WT_vs_msrA
P02918	0.11874933301320212	0.0069790324029604806	0.23051963362344374	25.479331822137915	0.039337620116946415	0.35057779335894473	WT_vs_msrA
P77173	0.11652482632344174	0.006764672405293423	0.22628498024159005	26.243367194911176	0.039460613123876574	0.3506456236358506	WT_vs_msrA
P0AEH1	0.14496461950409056	0.00798655927753597	0.28194267973064513	24.448503716296525	0.039969917448278484	0.35413579919917876	WT_vs_msrA
P0A7V0	0.1540834467978378	0.00836942964325929	0.29979746395241635	31.26839405458403	0.04010388039037377	0.3542898037975171	WT_vs_msrA
P52037	0.1356744702740329	0.007100337820499625	0.2642486027275662	22.91141738004637	0.040447492566470046	0.35577507397367075	WT_vs_msrA
P0AD96	0.2896137080564678	0.015058696148131823	0.5641687199648038	20.997816768271086	0.040506145309276105	0.35577507397367075	WT_vs_msrA
P77781	0.36139124164818526	0.018179424665365262	0.7046030586310053	24.60374038493142	0.04080047491474433	0.35732750220722775	WT_vs_msrA
P0AA53	0.21105331338383237	0.010414327504272042	0.4116922992633927	25.775797440698447	0.040967847027394665	0.3577623192995758	WT_vs_msrA
P39399	0.20122572971962782	0.009562381953587329	0.3928890774856683	20.756265953965055	0.04128690301824188	0.35786622097416	WT_vs_msrA
P77737	0.19793843100134367	0.00918556133322218	0.38669130066946517	27.869800920559104	0.04148244673060976	0.35786622097416	WT_vs_msrA
P07658	0.37210949160830253	0.01725684251842252	0.7269621406981825	25.0185281961061	0.04148779400760697	0.35786622097416	WT_vs_msrA
P13445	0.19479268163573238	0.008958217420612646	0.3806271458508521	25.381704058991865	0.04155584232973059	0.35786622097416	WT_vs_msrA
P15038	-0.10714798083890642	-0.2093872005457386	-0.004908761132074252	23.212988993790702	0.041586709555777944	0.35786622097416	WT_vs_msrA
P22634	-0.17361841632000363	-0.33938112785318736	-0.007855704786819906	24.358114994567654	0.04168629227537105	0.35786622097416	WT_vs_msrA
P65292	0.4374609013559123	0.017852228649099133	0.8570695740627254	28.280582291932582	0.04247109587540945	0.35980513841742245	WT_vs_msrA
P0A8N0	0.13574328471115393	0.005500818111801503	0.2659857513105064	23.50281638760541	0.042521736370954806	0.35980513841742245	WT_vs_msrA
P08191	0.5762883321798178	0.02214653923239074	1.1304301251272448	22.176434981579966	0.042894613399121796	0.35980513841742245	WT_vs_msrA
P76372	0.1267672835745941	0.0047885894349475044	0.2487459777142407	27.386358574056448	0.04301155076256621	0.35980513841742245	WT_vs_msrA
P75792	0.17150613299327944	0.0063523634142662044	0.33665990257229267	23.12020263923845	0.04314312349731199	0.35980513841742245	WT_vs_msrA
P0AA57	-0.4451252216006729	-0.8738319709078154	-0.01641847229353044	20.212147646291346	0.04317061311412825	0.35980513841742245	WT_vs_msrA
P0AC55	0.4903613448018618	0.017747949230433324	0.9629747403732902	23.58835458538017	0.04329443651491943	0.35980513841742245	WT_vs_msrA
P04949	-0.5589345781578423	-1.0977115058655775	-0.02015765045010709	29.126341509130864	0.04331759084610092	0.35980513841742245	WT_vs_msrA
P75785	0.3012231605563933	0.010802429085380427	0.5916438920274062	19.983959604455997	0.04335390099651834	0.35980513841742245	WT_vs_msrA
P76440	-0.28426766209588905	-0.5584636454206596	-0.010071678771118475	27.462328729767933	0.04343132637363884	0.35980513841742245	WT_vs_msrA
P0A6W5	0.12946757459691582	0.004512817801564373	0.2544223313922673	27.697382658945717	0.04353430709189952	0.35980513841742245	WT_vs_msrA
P27306	0.12316618116189915	0.004286032532294065	0.24204632979150423	27.59883306156198	0.043544721296692686	0.35980513841742245	WT_vs_msrA
P02358	0.24133321595450852	0.00828228567427608	0.47438414623474096	31.222325802325354	0.04363098694194283	0.35980513841742245	WT_vs_msrA
P0C7L2	0.7861416355538893	0.026718420489707517	1.545564850618071	20.23364992310749	0.04369073148634919	0.35980513841742245	WT_vs_msrA
P0A7V8	0.1747122919896711	0.005874677696246083	0.3435499062830961	31.74921365288289	0.04375588115955221	0.35980513841742245	WT_vs_msrA
P21189	-0.17283217136974827	-0.3399566333004097	-0.0057077094390868555	20.523817493244543	0.04386404215551706	0.35980513841742245	WT_vs_msrA
P64614	0.9154689344395557	0.029924149803701394	1.80101371907541	19.943137638086878	0.04392487869459155	0.35980513841742245	WT_vs_msrA
P0ABN1	0.12795446812408784	0.004000889694111387	0.2519080465540643	25.044962775925736	0.04418123828250384	0.36048273631902533	WT_vs_msrA
P0AFB8	0.19551208040331503	0.005996092731216179	0.3850280680754139	23.884019905025873	0.044289724056146514	0.36048273631902533	WT_vs_msrA
P07813	0.10343715214506943	0.003130178710897949	0.20374412557924093	27.973451431110593	0.04436345619720812	0.36048273631902533	WT_vs_msrA
P77293	0.1649203802037782	0.004459219226777916	0.32538154118077844	24.499390785680554	0.04494931415629362	0.36254439540801786	WT_vs_msrA
P0A9P6	0.23679384069678378	0.006351964454709896	0.4672357169388577	25.01412920010702	0.04498829165869821	0.36254439540801786	WT_vs_msrA
P69346	0.2716228048201579	0.007036362158246878	0.5362092474820689	23.31540389930644	0.045156227699390754	0.36254439540801786	WT_vs_msrA
P00961	0.10909460257123271	0.0027381471617099196	0.2154510579807555	28.164770147083466	0.045303606149290895	0.36254439540801786	WT_vs_msrA
P64461	0.43886709084036113	0.010384126412535222	0.867350055268187	25.215698785101175	0.04556699730441263	0.36254439540801786	WT_vs_msrA
P0A927	0.4095573260932177	0.009421661938061987	0.8096929902483734	27.739820931186983	0.04568754562828145	0.36254439540801786	WT_vs_msrA
P0C058	1.2308581035013084	0.02808790233780467	2.433628304664812	23.063878355600394	0.04572148115935588	0.36254439540801786	WT_vs_msrA
P39408	-0.18667087041011854	-0.3691798032143979	-0.004161937605839133	22.497704020307886	0.04581783803725682	0.36254439540801786	WT_vs_msrA
P21151	0.7992755681983432	0.017377298855650647	1.5811738375410358	23.550443610448248	0.04591982799842889	0.36254439540801786	WT_vs_msrA
P64545	0.20854091851287393	0.004527329038555794	0.41255450798719207	21.785759827194244	0.04592567570048284	0.36254439540801786	WT_vs_msrA
P62399	0.13339947361192372	0.0028933090434765107	0.26390563818037094	31.482061932864745	0.04592944792105524	0.36254439540801786	WT_vs_msrA
P76340	0.21682281142860305	0.0038906666075897156	0.42975495624961635	19.99065480388204	0.04662130264010584	0.36705217285824265	WT_vs_msrA
P0ABH7	0.13438560180255976	0.002271993283396695	0.26649921032172286	30.761653314626408	0.046813785144981926	0.3676152275338503	WT_vs_msrA
P07117	0.6085888348994786	0.009848846743439998	1.207328823055517	24.56339294839552	0.04694821528256476	0.3677206861951399	WT_vs_msrA
P37626	0.18775793391286655	0.002485535490973828	0.37303033233475924	25.462636889723033	0.0474972605978988	0.37056925537016944	WT_vs_msrA
P0AC53	-0.09172114583358493	-0.18225679718143867	-0.0011854944857311867	26.8790862611041	0.047555778083042476	0.37056925537016944	WT_vs_msrA
P13036	-0.4333376103727282	-0.8616045550787712	-0.005070665666685292	23.224724034805075	0.0477848447143404	0.3714019004779552	WT_vs_msrA
P0AAJ1	0.18762188814023517	0.0016712310777078632	0.3735725452027625	25.837625838617466	0.048309743338376045	0.37326082934649035	WT_vs_msrA
P04993	-0.10715815131507966	-0.21347340341191762	-8.428992182417105e-4	24.08896413705902	0.048506057763780995	0.37326082934649035	WT_vs_msrA
P24192	-0.17893391832231131	-0.3564763320875213	-0.001391504557101353	24.197236831011317	0.04852290583533611	0.37326082934649035	WT_vs_msrA
Q46851	-0.1408990397147747	-0.28072413386403106	-0.0010739455655183194	27.326335158302573	0.0485520708801842	0.37326082934649035	WT_vs_msrA
P39384	-0.20101286584281297	-0.40058895429903973	-0.00143677738658618	27.254407364257535	0.04864164571124274	0.37326082934649035	WT_vs_msrA
P39172	0.2313331596621957	0.001507457266620299	0.4611588620577711	25.697446125804323	0.04876095730521773	0.37326082934649035	WT_vs_msrA
P04335	-0.1149974255393893	-0.22949771967459684	-4.971314041817554e-4	24.725355179484527	0.049176498060194855	0.37549592363048284	WT_vs_msrA
P69441	0.12390510634930862	3.7576652421617007e-4	0.24743444617440108	30.017091760317378	0.049421663668558914	0.3764221450845878	WT_vs_msrA
P37342	-0.14430675746751476	-0.2882903887253463	-3.231262096832499e-4	26.138858908661952	0.049572707300535875	0.37662864371582133	WT_vs_msrA
P0A836	0.1522584352121008	4.939202674636434e-6	0.304511931221527	30.165051919686665	0.049993798247107674	0.3780698972117745	WT_vs_msrA
P76214	-0.8205830640884386	-1.6413759000772008	2.0977190032345217e-4	19.113969410983824	0.05004888411212413	0.3780698972117745	WT_vs_msrA
P52045	-0.3688556460798402	-0.7381193968034102	4.081046437297564e-4	22.478432583401087	0.050211721409445693	0.3780698972117745	WT_vs_msrA
P77156	0.8162536389906911	-0.0012146268551077588	1.6337219048364902	17.93391804948077	0.05028484251037191	0.3780698972117745	WT_vs_msrA
P36999	-0.1263148533437466	-0.2528832822367536	2.535755492604208e-4	25.68595128931139	0.050384438424076555	0.3780698972117745	WT_vs_msrA
P0A8H3	-0.23364369162771226	-0.4680683186159489	7.809353605243985e-4	20.922323278059537	0.05064078717116312	0.37905751776641555	WT_vs_msrA
P27241	0.12257491931976361	-4.939060591848399e-4	0.24564374469871206	23.04089314872843	0.050772932197415174	0.37911287702197716	WT_vs_msrA
P21177	0.7854438931147847	-0.005607794624142404	1.5764955808537118	24.399827724649302	0.051373041499076184	0.3826536105776777	WT_vs_msrA
P0AG67	0.1450946764611416	-0.0011985580693157083	0.2913879109915989	31.194779989647962	0.05159005307928858	0.3833304921954963	WT_vs_msrA
P42601	0.2834397534085298	-0.0027389778027131495	0.5696184846197727	20.611602400514546	0.051862204959914344	0.38441278261751144	WT_vs_msrA
P0A786	0.3165603566786075	-0.0036151440239650112	0.63673585738118	29.395315155434417	0.05220387618025995	0.3854489574759153	WT_vs_msrA
P63883	0.13785929168507138	-0.001611014553962703	0.2773295979241055	22.681211141513604	0.052255666495583115	0.3854489574759153	WT_vs_msrA
P03960	0.47755614706426286	-0.006441595690358015	0.9615538898188838	19.716319425688088	0.05260742557352435	0.3871040346681368	WT_vs_msrA
P06129	0.14681411089615892	-0.0024321485580425517	0.29606037035036037	25.984779167761207	0.05321023437028655	0.39059396679058167	WT_vs_msrA
P07102	-0.3077976922854688	-0.6217563306380745	0.006160946067136797	24.942346224490084	0.05388945000472179	0.39392928858682685	WT_vs_msrA
Q46861	0.13861415391896514	-0.002816072112898943	0.2800443799508292	28.7689732976836	0.05394862036784894	0.39392928858682685	WT_vs_msrA
P0AAK1	-0.4830891528957899	-0.9762490924889795	0.010070786697399692	23.803229205747137	0.05405347592652412	0.39392928858682685	WT_vs_msrA
P21599	-0.12253039016005118	-0.2479146333318749	0.0028538530117725447	29.33925516536186	0.05453749121856931	0.39627834830941355	WT_vs_msrA
P0AEF8	0.5385313415775101	-0.012929329840858594	1.089992012995879	23.64191324703671	0.05467991157712626	0.39627834830941355	WT_vs_msrA
P0ACU5	0.5940626952326618	-0.014522968338920528	1.202648358804244	18.316898762607966	0.05476699779202161	0.39627834830941355	WT_vs_msrA
P0AEN4	0.2602603535361716	-0.006950626442694285	0.5274713335150375	22.027754129553706	0.0552168027652937	0.39858399905873526	WT_vs_msrA
P76483	2.60468013412936	-0.07925518238551676	5.288615450644237	20.083336123354353	0.05596094531177029	0.40299837156983387	WT_vs_msrA
P27250	-0.27868980883511085	-0.5663355493510871	0.008955931680865337	25.77975711815267	0.05630380659539038	0.4040906557367885	WT_vs_msrA
P0A8Y3	0.30618810747262515	-0.01007524802949733	0.6224514629747476	25.93471499611266	0.0564585835398957	0.4040906557367885	WT_vs_msrA
P0A8K1	-0.1535376996084601	-0.3121680086129687	0.00509260939604847	27.107772453381695	0.056511526386355745	0.4040906557367885	WT_vs_msrA
P76204	0.38908898425460947	-0.013375897225421873	0.7915538657346408	17.965154588365426	0.05675512537685331	0.4044621797154195	WT_vs_msrA
P0ADY7	0.1752934630208003	-0.0060909222610985025	0.3566778483026991	30.81818755361407	0.05682966460627974	0.4044621797154195	WT_vs_msrA
P33011	0.18008520912438897	-0.006498811545774724	0.36666922979455263	21.152774609526688	0.057100382891173584	0.4054394009492442	WT_vs_msrA
P76507	0.23632339812913727	-0.008689987937737093	0.48133678419601167	24.94227794177686	0.057238761798399214	0.4054745853271217	WT_vs_msrA
P0A7B1	-0.09173600910641966	-0.18708540774083138	0.0036133895279920614	24.219947504066365	0.05776940374411367	0.407777506737946	WT_vs_msrA
P0ADZ0	0.24814440374471403	-0.009850881230605568	0.5061396887200336	30.97971417219313	0.057832216322492504	0.407777506737946	WT_vs_msrA
P23837	0.15970496080334584	-0.006918523618847899	0.3263284452255396	22.188152729319057	0.058570189587778314	0.4101182653217556	WT_vs_msrA
P77455	1.0546062871372435	-0.04606686876729493	2.155279443041782	18.787898212339588	0.05864392242482587	0.4101182653217556	WT_vs_msrA
P15977	0.10458843213970326	-0.004658435014999504	0.21383529929440603	25.293511716016695	0.05881956645300602	0.4101182653217556	WT_vs_msrA
P0AF54	1.2840314960198107	-0.05754508833659866	2.62560808037622	24.458086963838557	0.058875902124368704	0.4101182653217556	WT_vs_msrA
P41036	0.27748785648316243	-0.012603404168743282	0.5675791171350681	23.14452914296794	0.058999510841445384	0.4101182653217556	WT_vs_msrA
P24242	0.13257251704281714	-0.006038767260704819	0.2711838013463391	22.356545544924757	0.05902634883234914	0.4101182653217556	WT_vs_msrA
P10384	0.366192889482182	-0.016841213370690167	0.7492269923350541	26.949968191028365	0.059116382570817194	0.4101182653217556	WT_vs_msrA
P25718	0.2697143149553902	-0.01322819681824644	0.5526568267290268	21.023090110436613	0.05974399690140313	0.4101182653217556	WT_vs_msrA
P27550	0.7229730846549245	-0.03560466160996634	1.4815508309198153	27.330136867857778	0.059785656159579474	0.4101182653217556	WT_vs_msrA
P0AEC5	0.10592884930947477	-0.005338241814501182	0.21719594043345072	21.801867821019794	0.06002202613892257	0.4101182653217556	WT_vs_msrA
P08200	0.1707808888100395	-0.008889359133995745	0.35045113675407474	30.86413282636217	0.06036406037428965	0.4101182653217556	WT_vs_msrA
P0A7E3	0.12042910875411295	-0.006420013866785507	0.2472782313750114	21.775419025025126	0.06062434556750081	0.4101182653217556	WT_vs_msrA
P60906	0.10004131269277039	-0.005404565440350034	0.20548719082589081	27.547647893172634	0.0607722113439828	0.4101182653217556	WT_vs_msrA
P0ACQ7	0.1855255573605703	-0.010091343082749421	0.38114245780389	23.70215833372242	0.06084889576142551	0.4101182653217556	WT_vs_msrA
P24200	-0.24918943210386146	-0.5119916614701747	0.013612797262451737	21.76114523526754	0.060897634600942406	0.4101182653217556	WT_vs_msrA
P0AB10	-0.14321643992261812	-0.29425704316916235	0.007824163323926131	24.770721183467195	0.060898346254212934	0.4101182653217556	WT_vs_msrA
P0AEQ1	0.628483083996656	-0.03450530027524945	1.2914714682685613	24.05588778938101	0.06095451580650932	0.4101182653217556	WT_vs_msrA
P11875	0.09208884576044696	-0.005061322149940525	0.18923901367083446	26.754627382921765	0.06096671231625077	0.4101182653217556	WT_vs_msrA
P28904	0.11396251541251345	-0.006339924201786945	0.23426495502681385	28.170800062278175	0.061105872548767835	0.4101182653217556	WT_vs_msrA
P0AE06	0.12930410521941127	-0.007195571830409114	0.2658037822692316	27.28046539148254	0.06110935706776904	0.4101182653217556	WT_vs_msrA
P0ACF4	0.17839198667201472	-0.010090165056790501	0.36687413840081995	31.350450523588062	0.06129915416242557	0.4101182653217556	WT_vs_msrA
P0A8F0	0.16402305764648162	-0.009365178033412386	0.33741129332637565	29.665311516172405	0.061410429192749666	0.4101182653217556	WT_vs_msrA
P77704	0.3539802741024012	-0.020245494405383424	0.7282060426101857	22.866439198948544	0.061430641980158074	0.4101182653217556	WT_vs_msrA
P16433	-0.46573074843782436	-0.9583863367091076	0.026924839833458836	24.871265374117577	0.06155934255082722	0.4101182653217556	WT_vs_msrA
P45527	-0.16590485179886016	-0.3414144272863981	0.009604723688677763	23.003807187804103	0.06157620030437418	0.4101182653217556	WT_vs_msrA
P38683	-0.23713171337680805	-0.48810177496734014	0.013838348213724039	18.542422179567016	0.061672934271813855	0.4101182653217556	WT_vs_msrA
P52061	0.1359832474115592	-0.00852124813744945	0.2804877429605679	25.603906346710254	0.06257308511103458	0.41368488428981043	WT_vs_msrA
P61714	0.1582012806819897	-0.009930383889712568	0.32633294525369194	28.170278022480428	0.06259543135228594	0.41368488428981043	WT_vs_msrA
P0A6G5	-0.7591648046146844	-1.566063285335935	0.047733676106566425	19.030527676495804	0.06261765277173834	0.41368488428981043	WT_vs_msrA
P77467	1.3423754954394553	-0.08589414680757179	2.7706451376864827	19.57200202599585	0.06285055225650758	0.41432283797728103	WT_vs_msrA
P0A8A4	0.11424281119214896	-0.0075609209651497505	0.2360465433494477	25.06458872878698	0.06331228959574109	0.41646330753562155	WT_vs_msrA
P0ACL0	-0.1419225044082495	-0.2934574135327075	0.009612404716208528	25.967765800066672	0.06363831496280874	0.41770375631096274	WT_vs_msrA
P0ADS6	-0.15529320946810188	-0.32142151499824423	0.010835096062040445	27.187414232497826	0.06406959697193194	0.4190167405374443	WT_vs_msrA
P38051	-0.14393789439193583	-0.29794889615676523	0.010073107372893547	24.330054216278874	0.0641141113359367	0.4190167405374443	WT_vs_msrA
P0A873	0.10145713433395542	-0.007262990162359054	0.2101772588302699	24.20012396091795	0.06445385966532835	0.41974459851026846	WT_vs_msrA
P0A8R7	0.13618331383534255	-0.009798331418528455	0.2821649590892136	23.47027183863972	0.06453077411126854	0.41974459851026846	WT_vs_msrA
P36683	0.15254706967834863	-0.011235160558127233	0.3163292999148245	30.09777374036757	0.06489183471023609	0.41974459851026846	WT_vs_msrA
P64534	0.13654799999588008	-0.010317169326516135	0.2834131693182763	24.922535387925794	0.06529746898219095	0.41974459851026846	WT_vs_msrA
P15877	-0.14521572860677878	-0.3014881677920366	0.01105671057847904	26.5344190078821	0.06542164860805406	0.41974459851026846	WT_vs_msrA
P77554	-0.13817133150319094	-0.2868654590565026	0.010522796050120714	22.005979841933314	0.06542542058137622	0.41974459851026846	WT_vs_msrA
P08395	-0.17948795821203944	-0.37275241795033803	0.013776501526259144	24.43058663506855	0.06555268965120463	0.41974459851026846	WT_vs_msrA
P19930	-0.29443042853169743	-0.6114816898230837	0.022620832759688847	23.386379714553453	0.0655686169487441	0.41974459851026846	WT_vs_msrA
P0AEG1	0.6276590300858054	-0.04825893163582595	1.3035769918074367	22.845946679842818	0.06558100112030943	0.41974459851026846	WT_vs_msrA
P0ADC6	0.12265177676998107	-0.009474838539010294	0.25477839207897246	24.14439197576076	0.06565840275913772	0.41974459851026846	WT_vs_msrA
P0A8Z3	-0.154787516271071	-0.321650420480218	0.012075387938075999	22.274486805191344	0.06582127664364582	0.41974459851026846	WT_vs_msrA
P37641	0.1369648892069506	-0.010935751577825448	0.28486552999172665	18.88202722986048	0.06621281691064167	0.41974459851026846	WT_vs_msrA
P77790	0.6035893769510672	-0.048269928917272	1.2554486828194062	20.65697910668888	0.06624022394076992	0.41974459851026846	WT_vs_msrA
P10442	0.2425198200568417	-0.019419681437518876	0.5044593215512023	21.779589631721063	0.0662623122914163	0.41974459851026846	WT_vs_msrA
P0ACF0	0.12964782563071608	-0.010402661467158014	0.2696983127285902	31.823643332243915	0.06629727123558041	0.41974459851026846	WT_vs_msrA
P0AAG3	0.25199262668206046	-0.0204372051323764	0.5244224584964974	23.51106783005571	0.06648255266713796	0.42004257288031654	WT_vs_msrA
P0AAN3	-0.15010163658647713	-0.3125770122776306	0.012373739104676318	26.29847118536107	0.06676867264559114	0.420296314156747	WT_vs_msrA
P0A722	0.14240812805066838	-0.011759836964782888	0.29657609306611965	26.821361820928537	0.06679931547802198	0.420296314156747	WT_vs_msrA
P52614	0.7758235439780243	-0.06482767883836527	1.616474766794414	18.072707949446656	0.06701023842228002	0.4207523028208863	WT_vs_msrA
P0AED5	0.1497499064078731	-0.01262970803343974	0.312129520849186	24.329150397686544	0.06717779939208897	0.42076906262944486	WT_vs_msrA
P0ADA5	0.16610210555364446	-0.014095252667775449	0.3462994637750644	27.054024749194905	0.06728982047973353	0.42076906262944486	WT_vs_msrA
P27431	0.18280400087268234	-0.015981812221073977	0.38158981396643865	26.004141415534576	0.06784349412225255	0.42271468404614543	WT_vs_msrA
P0A9S7	0.26214227940343804	-0.02296131391028028	0.5472458727171563	16.76975597285755	0.06787915953093747	0.42271468404614543	WT_vs_msrA
P78061	0.5518149136350807	-0.05014310397841504	1.1537729312485765	19.134193171617166	0.06858879941662484	0.4251195773791714	WT_vs_msrA
P06282	0.15755453162905297	-0.01436695016435055	0.32947601342245647	23.49772667941435	0.06865771746602685	0.4251195773791714	WT_vs_msrA
P0AG38	0.36858872812027244	-0.033656907482697396	0.7708343637232422	19.806274451005578	0.06868499917511456	0.4251195773791714	WT_vs_msrA
P0AFX9	-0.12198725599037274	-0.2551939456638327	0.011219433683087227	24.473959371558834	0.0688280984803705	0.4251394131744836	WT_vs_msrA
P04128	0.5466753361904821	-0.05114830501176437	1.1444989773927285	23.599292589497743	0.06917372401604426	0.42640760098328295	WT_vs_msrA
P06715	-0.10864738819426734	-0.22773978531095895	0.010445008922424281	26.5392696370832	0.06973450695558155	0.4282759714552986	WT_vs_msrA
P0AFX4	0.24508573387679533	-0.023597735580795365	0.513769203334386	25.04286698485969	0.06976654008881784	0.4282759714552986	WT_vs_msrA
P0AB28	0.15557364474265611	-0.015148535745103858	0.3262958252304161	26.105926771624578	0.07000418790688609	0.4282759714552986	WT_vs_msrA
P08245	0.13237861344392954	-0.012967612031679177	0.27772483891953825	24.258887794712912	0.07013232796771389	0.4282759714552986	WT_vs_msrA
P75858	0.384011735309187	-0.03774679183991336	0.8057702624582873	16.836691390216107	0.07020609976994607	0.4282759714552986	WT_vs_msrA
P63201	0.2953593111693067	-0.02933296718671985	0.6200515895253332	21.765307506870897	0.07042859265830141	0.4282759714552986	WT_vs_msrA
P33931	-0.26695142275160677	-0.5604568705461646	0.026554025042951068	21.9337441860028	0.07046330560304354	0.4282759714552986	WT_vs_msrA
P02925	0.15969942844756346	-0.016171890531956806	0.3355707474270837	29.661889207481803	0.07085631893000885	0.42980509626406566	WT_vs_msrA
P69330	-1.0862977313391333	-2.287737704238973	0.1151422415607064	19.26325928251816	0.07189678917474286	0.43457110674532945	WT_vs_msrA
P33232	0.2564013083691137	-0.027278570218762177	0.5400811869569895	26.22141353410219	0.07198391379793671	0.43457110674532945	WT_vs_msrA
P0AGC0	1.1269449821702757	-0.12074588488933435	2.374635849229886	18.213133271385963	0.0721503766652969	0.43457110674532945	WT_vs_msrA
P0ABB0	0.14247548308807723	-0.015377953246926868	0.3003289194230813	30.609338189161413	0.07232477106167196	0.43457110674532945	WT_vs_msrA
P09127	0.127042716285807	-0.013730772349547338	0.2678162049211613	26.184394521175612	0.0723570187604925	0.43457110674532945	WT_vs_msrA
P0A7Y0	-0.10569621348252412	-0.22297298130646784	0.011580554341419608	29.18446117803405	0.07268534810767319	0.4353306153482674	WT_vs_msrA
Q46864	0.13390106240319355	-0.014721990785646066	0.28252411559203316	25.002755681611376	0.07276997453008222	0.4353306153482674	WT_vs_msrA
P02932	1.3119626053324929	-0.14509464622843082	2.769019856893417	16.453721920859376	0.07291324123697764	0.43533072714965626	WT_vs_msrA
P0AG00	0.09358924783192535	-0.010595123127495165	0.19777361879134586	25.592960285421295	0.07349348601541002	0.43793471372711973	WT_vs_msrA
P0ACI3	0.14480612531138348	-0.0165409051295394	0.3061531557523064	21.27232920774139	0.07372004028377414	0.43819406021487334	WT_vs_msrA
P76346	0.30277426159063836	-0.03491487615730704	0.6404633993385838	25.07309198624059	0.07396228645407435	0.43819406021487334	WT_vs_msrA
P27245	-0.21853941850998382	-0.4622872020015064	0.02520836498153875	21.709671872881042	0.0739695797598651	0.43819406021487334	WT_vs_msrA
P07001	0.09997161235032337	-0.011627165413288135	0.21157039011393486	27.276319098735353	0.0741824135480173	0.43859991200860815	WT_vs_msrA
