Protein.Group	log2fc	ci_l	ci_r	mean_abundance	pval	adj_pval	comparison
P46888	1.1275854332897737	0.8628141440060353	1.392356722573512	23.752151969436735	1.7075260436288911e-6	1.1793571924064091e-4	WT_vs_bisC
P0AEM4	-1.3914867414465597	-1.722302501486834	-1.0606709814062854	23.68042769849261	1.9233905261294273e-6	1.2989297353127398e-4	WT_vs_bisC
P02932	5.728990395935314	4.27193314437439	7.186047647496238	16.453721920859376	3.655358836228602e-6	2.4149207615866783e-4	WT_vs_bisC
Q46906	0.6962204341542915	0.5147818053971583	0.8776590629114246	22.04854937994977	4.599170574644416e-6	2.973804122626464e-4	WT_vs_bisC
P75936	-5.116111447787485	-6.467861879813228	-3.764361015761743	22.682773108731034	5.2326717813416955e-6	3.312935321561961e-4	WT_vs_bisC
P37194	0.9018623229753722	0.6586137800416356	1.1451108659091087	28.034528061593342	6.344184386784763e-6	3.9346890513140603e-4	WT_vs_bisC
P0A8K5	3.522114297922837	2.5637228861307415	4.480505709714932	20.780320252128654	6.886897332752707e-6	4.185856198847095e-4	WT_vs_bisC
P0ACH1	-2.758048143442492	-3.5107693564522595	-2.005326930432725	16.726383012702335	7.0801179548398144e-06	4.2189173460310185e-4	WT_vs_bisC
P04391	-0.9269273145321364	-1.184278178983174	-0.6695764500810989	21.926268807501838	8.300159828078935e-6	4.8508049456792083e-4	WT_vs_bisC
P02916	-0.5966885497681851	-0.7655234753870609	-0.4278536241493093	27.271085789283017	9.887039695182776e-6	5.669191251634049e-4	WT_vs_bisC
P45753	0.5821075368960216	0.41457605757049387	0.7496390162215493	18.595691030596846	1.1556233171959633e-5	0.00065035912239972825	WT_vs_bisC
P39370	-3.7395853962288026	-4.821981092545871	-2.6571896999117346	15.832795542449299	1.21735952347888e-5	6.726464712458757e-4	WT_vs_bisC
P0ABX5	-3.693625797444998	-4.773558637217638	-2.6136929576723578	21.55946375015102	1.3348464204374016e-5	7.243925485195114e-4	WT_vs_bisC
P36659	0.6511716390667814	0.4603716571749251	0.8419716209586378	26.93898984451086	1.3614191302912358e-5	7.258513573605379e-4	WT_vs_bisC
P00561	0.9739933136266927	0.6819603553832008	1.2660262718701847	26.40643294540897	1.677883209537832e-5	8.791529437561157e-4	WT_vs_bisC
P07364	-3.521376302734584	-4.594169242231563	-2.4485833632376055	20.820995646580283	1.9378606914509697e-5	9.981624815795756e-4	WT_vs_bisC
P38097	-0.5467072543545193	-0.7167368401987221	-0.3766776685103165	25.234781080789453	2.3325897201696798e-5	0.0011814566932659427	WT_vs_bisC
P30744	-0.5976464562944273	-0.7867216335373799	-0.40857127905147467	28.217970892071765	2.716917044173524e-5	0.0013535591634825147	WT_vs_bisC
P37636	0.8804288974078673	0.5923814325381651	1.1684763622775696	25.67568130273258	3.657102625297052e-5	0.0017925701416577002	WT_vs_bisC
P77328	2.480242947867252	1.6621899384290706	3.298295957305433	16.538499922561115	3.926938108888786e-5	0.0018723909481722235	WT_vs_bisC
